age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income,remediation_timestamp
23.0,Private,268525.0,Hs-Grad,9.0,Married-Civ-Spouse,Machine-Op-Inspct,Husband,White,Male,0,0.0,48,United-States,<=50K,2025-03-31T22:02:17.000Z
23.0,Private,250630.0,Bachelors,13.0,Never-Married,Sales,Not-In-Family,White,Female,0,0.0,40,United-States,<=50K,2025-03-31T22:02:17.000Z
47.0,Private,180277.0,Hs-Grad,9.0,Married-Civ-Spouse,Adm-Clerical,Wife,White,Female,0,0.0,40,Hungary,<=50K,2025-03-31T22:02:17.000Z
39.0,Self-Emp-Not-Inc,191342.0,Bachelors,13.0,Married-Civ-Spouse,Exec-Managerial,Husband,Asian-Pac-Islander,Male,0,0.0,50,South,<=50K,2025-03-31T22:02:17.000Z
46.0,Private,153254.0,Hs-Grad,9.0,Married-Civ-Spouse,Machine-Op-Inspct,Husband,Black,Male,0,0.0,40,United-States,<=50K,2025-03-31T22:02:17.000Z
18.0,Private,362600.0,5th-6th,3.0,Never-Married,Handlers-Cleaners,Own-Child,White,Male,0,0.0,40,United-States,<=50K,2025-03-31T22:02:17.000Z
68.0,Private,171933.0,7th-8th,4.0,Married-Civ-Spouse,Craft-Repair,Husband,White,Male,0,0.0,40,United-States,<=50K,2025-03-31T22:02:17.000Z
62.0,Private,211408.0,Assoc-Voc,11.0,Married-Civ-Spouse,Tech-Support,Husband,White,Male,0,0.0,40,United-States,>50K,2025-03-31T22:02:17.000Z
43.0,Private,48193.0,Assoc-Acdm,12.0,Married-Civ-Spouse,Tech-Support,Husband,White,Male,0,0.0,40,United-States,<=50K,2025-03-31T22:02:17.000Z
35.0,Private,22463.0,Hs-Grad,9.0,Married-Civ-Spouse,Craft-Repair,Husband,White,Male,0,0.0,40,United-States,<=50K,2025-03-31T22:02:17.000Z
21.0,Private,440969.0,Hs-Grad,9.0,Never-Married,Adm-Clerical,Own-Child,White,Female,0,0.0,40,United-States,<=50K,2025-03-31T22:02:17.000Z
21.0,State-Gov,164922.0,Some-College,10.0,Never-Married,Handlers-Cleaners,Own-Child,White,Male,0,0.0,40,United-States,<=50K,2025-03-31T22:02:17.000Z
41.0,Local-Gov,134524.0,Assoc-Voc,11.0,Divorced,Craft-Repair,Unmarried,White,Female,0,0.0,45,United-States,<=50K,2025-03-31T22:02:17.000Z
61.0,Private,176689.0,Hs-Grad,9.0,Married-Civ-Spouse,Transport-Moving,Husband,White,Male,0,0.0,40,United-States,<=50K,2025-03-31T22:02:17.000Z
24.0,Private,220993.0,Hs-Grad,9.0,Never-Married,Craft-Repair,Not-In-Family,White,Male,0,0.0,50,United-States,<=50K,2025-03-31T22:02:17.000Z
21.0,Private,512828.0,Hs-Grad,9.0,Never-Married,Protective-Serv,Own-Child,Black,Male,0,0.0,40,United-States,<=50K,2025-03-31T22:02:17.000Z
36.0,State-Gov,422275.0,5th-6th,3.0,Married-Civ-Spouse,Other-Service,Husband,White,Male,0,0.0,40,Mexico,<=50K,2025-03-31T22:02:17.000Z
37.0,Local-Gov,65291.0,Assoc-Voc,11.0,Never-Married,Protective-Serv,Not-In-Family,White,Female,0,0.0,40,United-States,<=50K,2025-03-31T22:02:17.000Z
49.0,Federal-Gov,181657.0,Some-College,10.0,Divorced,Exec-Managerial,Not-In-Family,White,Female,0,0.0,50,United-States,<=50K,2025-03-31T22:02:17.000Z
55.0,Private,190257.0,Hs-Grad,9.0,Married-Civ-Spouse,Farming-Fishing,Husband,White,Male,0,0.0,53,United-States,>50K,2025-03-31T22:02:17.000Z
21.0,Private,238068.0,Hs-Grad,9.0,Married-Civ-Spouse,Machine-Op-Inspct,Husband,White,Male,0,0.0,40,United-States,<=50K,2025-03-31T22:02:17.000Z
18.0,Private,337046.0,10th,6.0,Never-Married,Other-Service,Own-Child,White,Male,0,0.0,40,United-States,<=50K,2025-03-31T22:02:17.000Z
26.0,Private,187248.0,Hs-Grad,9.0,Married-Civ-Spouse,Prof-Specialty,Not-In-Family,Black,Male,0,0.0,40,United-States,<=50K,2025-03-31T22:02:17.000Z
20.0,Unknown,250037.0,Some-College,10.0,Never-Married,Unknown,Own-Child,White,Female,0,0.0,18,Unknown,<=50K,2025-03-31T22:02:17.000Z
23.0,Private,260617.0,10th,6.0,Never-Married,Craft-Repair,Not-In-Family,White,Male,0,0.0,40,United-States,<=50K,2025-03-31T22:02:17.000Z
48.0,Private,216999.0,Hs-Grad,9.0,Married-Civ-Spouse,Craft-Repair,Husband,White,Male,0,0.0,40,United-States,>50K,2025-03-31T22:02:17.000Z
42.0,State-Gov,121265.0,Masters,14.0,Divorced,Prof-Specialty,Not-In-Family,White,Male,0,0.0,40,United-States,<=50K,2025-03-31T22:02:17.000Z
41.0,Local-Gov,184466.0,Masters,14.0,Married-Civ-Spouse,Prof-Specialty,Husband,White,Male,0,0.0,38,United-States,>50K,2025-03-31T22:02:17.000Z
45.0,Private,297676.0,Assoc-Acdm,12.0,Widowed,Sales,Unmarried,White,Female,0,0.0,40,Cuba,<=50K,2025-03-31T22:02:17.000Z
22.0,Local-Gov,121144.0,Bachelors,13.0,Never-Married,Prof-Specialty,Own-Child,Black,Female,0,0.0,18,United-States,<=50K,2025-03-31T22:02:17.000Z
27.0,Private,113054.0,Hs-Grad,9.0,Separated,Machine-Op-Inspct,Not-In-Family,White,Male,0,0.0,43,United-States,<=50K,2025-03-31T22:02:17.000Z
36.0,Private,256636.0,Hs-Grad,9.0,Divorced,Exec-Managerial,Not-In-Family,White,Male,0,0.0,40,United-States,<=50K,2025-03-31T22:02:17.000Z
34.0,Private,152246.0,Hs-Grad,9.0,Married-Civ-Spouse,Transport-Moving,Husband,Amer-Indian-Eskimo,Male,0,0.0,52,United-States,<=50K,2025-03-31T22:02:17.000Z
38.0,Private,108140.0,Masters,14.0,Married-Civ-Spouse,Prof-Specialty,Husband,White,Male,0,0.0,50,United-States,>50K,2025-03-31T22:02:17.000Z
20.0,Unknown,203353.0,Some-College,10.0,Never-Married,Unknown,Own-Child,White,Female,0,0.0,40,United-States,<=50K,2025-03-31T22:02:17.000Z
47.0,Private,207207.0,Hs-Grad,9.0,Divorced,Sales,Unmarried,White,Female,0,0.0,45,United-States,<=50K,2025-03-31T22:02:17.000Z
21.0,Private,115420.0,Hs-Grad,9.0,Married-Civ-Spouse,Craft-Repair,Husband,White,Male,0,0.0,50,United-States,<=50K,2025-03-31T22:02:17.000Z
33.0,Private,80058.0,Hs-Grad,9.0,Never-Married,Transport-Moving,Not-In-Family,White,Male,0,0.0,40,United-States,<=50K,2025-03-31T22:02:17.000Z
31.0,Local-Gov,48520.0,Assoc-Acdm,12.0,Never-Married,Protective-Serv,Unmarried,White,Male,0,0.0,40,United-States,<=50K,2025-03-31T22:02:17.000Z
61.0,Private,411652.0,12th,8.0,Married-Civ-Spouse,Craft-Repair,Husband,White,Male,0,0.0,40,Mexico,<=50K,2025-03-31T22:02:17.000Z
46.0,Private,154405.0,10th,6.0,Married-Civ-Spouse,Handlers-Cleaners,Husband,Black,Male,0,0.0,45,United-States,<=50K,2025-03-31T22:02:17.000Z
55.0,Local-Gov,104917.0,Masters,14.0,Married-Civ-Spouse,Prof-Specialty,Husband,Black,Male,0,0.0,40,United-States,>50K,2025-03-31T22:02:17.000Z
19.0,State-Gov,261422.0,Some-College,10.0,Never-Married,Prof-Specialty,Own-Child,White,Male,0,0.0,40,United-States,<=50K,2025-03-31T22:02:17.000Z
39.0,Private,48915.0,Hs-Grad,9.0,Married-Civ-Spouse,Machine-Op-Inspct,Husband,White,Male,0,0.0,40,United-States,>50K,2025-03-31T22:02:17.000Z
61.0,Private,172037.0,Hs-Grad,9.0,Married-Civ-Spouse,Other-Service,Husband,White,Male,0,0.0,40,United-States,<=50K,2025-03-31T22:02:17.000Z
28.0,Private,144833.0,Some-College,10.0,Married-Civ-Spouse,Handlers-Cleaners,Husband,White,Male,0,0.0,40,United-States,<=50K,2025-03-31T22:02:17.000Z
28.0,Private,275116.0,10th,6.0,Married-Civ-Spouse,Transport-Moving,Husband,White,Male,0,0.0,40,United-States,<=50K,2025-03-31T22:02:17.000Z
61.0,Unknown,72886.0,Hs-Grad,9.0,Married-Civ-Spouse,Unknown,Husband,White,Male,0,0.0,38,United-States,>50K,2025-03-31T22:02:17.000Z
61.0,Private,103575.0,Hs-Grad,9.0,Married-Civ-Spouse,Craft-Repair,Husband,White,Male,0,0.0,37,United-States,<=50K,2025-03-31T22:02:17.000Z
54.0,Private,200783.0,Some-College,10.0,Married-Civ-Spouse,Sales,Husband,White,Male,0,0.0,40,United-States,<=50K,2025-03-31T22:02:17.000Z
50.0,Self-Emp-Inc,152810.0,Some-College,10.0,Married-Civ-Spouse,Machine-Op-Inspct,Husband,White,Male,0,0.0,70,Germany,<=50K,2025-03-31T22:02:17.000Z
37.0,Local-Gov,44694.0,Masters,14.0,Married-Civ-Spouse,Prof-Specialty,Wife,White,Female,0,0.0,45,United-States,>50K,2025-03-31T22:02:17.000Z
17.0,Unknown,48703.0,11th,7.0,Never-Married,Unknown,Own-Child,White,Female,0,0.0,30,United-States,<=50K,2025-03-31T22:02:17.000Z
56.0,Private,91905.0,Hs-Grad,9.0,Married-Civ-Spouse,Sales,Wife,White,Female,0,0.0,4,United-States,<=50K,2025-03-31T22:02:17.000Z
31.0,Private,168906.0,Bachelors,13.0,Divorced,Exec-Managerial,Not-In-Family,White,Female,0,0.0,50,United-States,>50K,2025-03-31T22:02:17.000Z
32.0,State-Gov,147215.0,Bachelors,13.0,Married-Civ-Spouse,Exec-Managerial,Wife,White,Female,0,0.0,55,United-States,>50K,2025-03-31T22:02:17.000Z
28.0,Private,153546.0,11th,7.0,Divorced,Other-Service,Unmarried,White,Female,0,0.0,40,United-States,<=50K,2025-03-31T22:02:17.000Z
34.0,Private,35595.0,Assoc-Voc,11.0,Married-Civ-Spouse,Tech-Support,Husband,White,Male,0,0.0,40,United-States,<=50K,2025-03-31T22:02:17.000Z
33.0,Private,225507.0,10th,6.0,Never-Married,Other-Service,Own-Child,White,Female,0,0.0,25,United-States,<=50K,2025-03-31T22:02:17.000Z
42.0,Private,345504.0,Assoc-Voc,11.0,Divorced,Adm-Clerical,Not-In-Family,White,Female,0,0.0,35,United-States,<=50K,2025-03-31T22:02:17.000Z
64.0,Private,137205.0,Assoc-Voc,11.0,Married-Civ-Spouse,Craft-Repair,Husband,White,Male,0,0.0,48,United-States,<=50K,2025-03-31T22:02:17.000Z
29.0,Private,327779.0,Some-College,10.0,Married-Civ-Spouse,Handlers-Cleaners,Husband,White,Male,0,0.0,20,United-States,<=50K,2025-03-31T22:02:17.000Z
41.0,Unknown,213416.0,5th-6th,3.0,Married-Civ-Spouse,Unknown,Husband,White,Male,0,0.0,32,Mexico,<=50K,2025-03-31T22:02:17.000Z
45.0,Private,362883.0,Some-College,10.0,Married-Civ-Spouse,Transport-Moving,Husband,White,Male,0,0.0,40,United-States,<=50K,2025-03-31T22:02:17.000Z
48.0,Private,131309.0,Masters,14.0,Married-Civ-Spouse,Prof-Specialty,Husband,White,Male,0,0.0,45,United-States,>50K,2025-03-31T22:02:17.000Z
44.0,Private,188331.0,Some-College,10.0,Separated,Tech-Support,Not-In-Family,White,Female,0,0.0,38,United-States,<=50K,2025-03-31T22:02:17.000Z
34.0,Federal-Gov,194740.0,Some-College,10.0,Never-Married,Adm-Clerical,Not-In-Family,White,Male,0,0.0,40,United-States,<=50K,2025-03-31T22:02:17.000Z
40.0,Private,43711.0,Hs-Grad,9.0,Never-Married,Machine-Op-Inspct,Not-In-Family,White,Male,0,0.0,45,United-States,<=50K,2025-03-31T22:02:17.000Z
23.0,Private,233923.0,Some-College,10.0,Never-Married,Other-Service,Own-Child,White,Female,0,0.0,20,United-States,<=50K,2025-03-31T22:02:17.000Z
51.0,Private,84278.0,Bachelors,13.0,Married-Civ-Spouse,Prof-Specialty,Husband,White,Male,0,0.0,55,United-States,>50K,2025-03-31T22:02:17.000Z
34.0,Private,180284.0,Some-College,10.0,Married-Civ-Spouse,Farming-Fishing,Husband,White,Male,0,0.0,40,United-States,>50K,2025-03-31T22:02:17.000Z
56.0,Self-Emp-Inc,75214.0,Prof-School,15.0,Married-Civ-Spouse,Prof-Specialty,Husband,White,Male,0,0.0,32,United-States,>50K,2025-03-31T22:02:17.000Z
42.0,Private,284758.0,Hs-Grad,9.0,Divorced,Exec-Managerial,Unmarried,White,Female,0,0.0,40,United-States,<=50K,2025-03-31T22:02:17.000Z
